Title,Title_URL,Image,Date
"Tolak Berkolaborasi, Wali Kota Kherson Ditangkap Pasukan Rusia",https://www.idntimes.com/news/world/brahm-1/tolak-berkolaborasi-wali-kota-kherson-ditangkap-pasukan-rusia-c1c2,https://cdn.idntimes.com/content-images/community/2022/06/290834503-5341913349197976-2294415078329120516-n-4b05e1ad11e871221e4135e0f2a9a211-7044a8bb6c557531c627b71e3f6e8147_300x200.jpg,"
                    
                    29 Jun 22 | 22:46
                "
"Wapres Minta Fatwa Ganja Medis, MUI Merespons: Kita Akan Kaji ",https://www.idntimes.com/news/indonesia/rendra-saputra-2/wapres-minta-fatwa-ganja-medis-mui-merespons-kita-akan-kaji,https://cdn.idntimes.com/content-images/post/20200415/sekretaris-komisi-fatwa-mui-asrorun-niam-dok-bnpb-3-54c48c66bee83e38d03b26d9b58add3a_300x200.jpeg,"
                    
                    29 Jun 22 | 22:35
                "
Erick Thohir Diminta Bersihkan BUMN Lain,https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/erick-thohir-diminta-bersihkan-bumn-lain,https://cdn.idntimes.com/content-images/post/20220328/whatsapp-image-2022-03-28-at-174434-d8376a3f13efbee70300ac4c38d78f84_300x200.jpeg,"
                    
                    29 Jun 22 | 22:20
                "
[LINIMASA-10] Perkembangan Terkini Pandemik COVID-19 di Indonesia,https://www.idntimes.com/news/indonesia/satria-permana-2/linimasa-10-perkembangan-terkini-pandemik-covid-19-di-indonesia,https://cdn.idntimes.com/content-images/post/20200507/antarafoto-relawan-indonesia-bersatu-lawan-covid-19-220420-adm-17-e37ce6b5a6cc678003b72b26e26b71af_300x200.jpg,"
                    
                    29 Jun 22 | 22:00
                "
"Wagub DKI Kagum Pengelolaan Sampah di Jepang, Akui Jakarta Masih Jauh",https://www.idntimes.com/news/indonesia/uji-sukma-medianti-1/wagub-dki-kagum-pengelolaan-sampah-di-jepang-akui-jakarta-masih-jauh,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 21:48
                "
Turki Akhirnya Setuju Swedia dan Finlandia Gabung NATO,https://www.idntimes.com/news/world/leo-manik/turki-akhirnya-setuju-swedia-dan-finlandia-gabung-nato-c1c2,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 21:28
                "
"Pakai Kemeja Putih, Jokowi Bertemu Presiden Zelenskyy di Ukraina",https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/pakai-kemeja-putih-jokowi-bertemu-presiden-zelenskyy-di-ukraina,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 21:23
                "
Polisi Siaga Cegah Warga Blokade Tol Jatikarya Bekasi,https://www.idntimes.com/news/indonesia/imam-faishal/polisi-siaga-cegah-warga-blokade-tol-jatikarya-bekasi,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 21:09
                "
China Khawatir NATO Melakukan Ekspansi di Asia-Pasifik,https://www.idntimes.com/news/world/anoraga-ilafi/china-khawatir-nato-melakukan-ekspansi-di-asia-pasifik-c1c2,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 21:07
                "
"Lompatan Karier Politik Gibran, Bisakah Tiru Jejak Jokowi?",https://www.idntimes.com/news/indonesia/santi-dewi/lompatan-karier-politik-gibran-bisakah-tiru-jejak-jokowi,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 21:02
                "
MUI Ungkap Alasan Idul Adha Muhammadiyah dengan Pemerintah Berbeda,https://www.idntimes.com/news/indonesia/yosafat-diva-bagus/mui-ungkap-alasan-idul-adha-muhammadiyah-dengan-pemerintah-berbeda,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 20:35
                "
Bulgaria Usir 70 Staf Diplomat Rusia atas Tuduhan Mata-Mata,https://www.idntimes.com/news/world/syahreza-zanskie/bulgaria-usir-70-staf-diplomat-rusia-atas-tuduhan-mata-mata-c1c2,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 20:32
                "
Kalbe Terima Fasilitas Pinjaman Rp1 Triliun dari BNI,https://www.idntimes.com/news/indonesia/ester-ajeng-2/kalbe-terima-fasilitas-pinjaman-rp1-triliun-dari-bni-csc,https://cdn.idntimes.com/content-images/post/20220629/screenshot-2022-06-29-195044-2d29836a7655564d6b0d08a43227421a_300x200.jpg,"
                    
                    29 Jun 22 | 20:19
                "
"Idul Adha Makin Dekat, Kementan Klaim Stok Hewan Kurban Aman",https://www.idntimes.com/news/indonesia/lia-hutasoit-1/idul-adha-makin-dekat-kementan-klaim-stok-hewan-kurban-aman,https://cdn.idntimes.com/content-images/post/20220629/whatsapp-image-2022-06-29-at-73019-pm-be7c53044f26b8315a9e9f27eda33380_300x200.jpg,"
                    
                    29 Jun 22 | 20:17
                "
